Unnamed: 0,Timestamp,LogLevel,Service,Message,RequestID,User,ClientIP,TimeTaken
0,2023-11-20T08:40:50.664842,WARNING,ServiceA,Performance Warnings,6743,User96,192.168.1.102,28ms
1,2023-11-20T08:40:50.672154,DEBUG,ServiceA,File I/O,8684,User17,192.168.1.219,55ms
2,2023-11-20T08:40:50.680263,WARNING,ServiceA,Performance Warnings,6265,User13,192.168.1.173,44ms
3,2023-11-20T08:40:50.688973,ERROR,ServiceA,Critical Errors,5821,User1,192.168.1.185,72ms
4,2023-11-20T08:40:50.697002,ERROR,ServiceB,Critical Errors,7272,User64,192.168.1.194,56ms
5,2023-11-20T08:40:50.705617,FATAL,ServiceA,Crashes,7983,User48,192.168.1.129,22ms
6,2023-11-20T08:40:50.714641,WARNING,ServiceD,Performance Warnings,3378,User40,192.168.1.56,12ms
7,2023-11-20T08:40:50.729253,WARNING,ServiceB,Performance Warnings,2061,User15,192.168.1.58,11ms
8,2023-11-20T08:40:50.742986,ERROR,ServiceD,Critical Errors,9966,User39,192.168.1.219,52ms
9,2023-11-20T08:40:50.759240,ERROR,ServiceB,Database Errors,3059,User57,192.168.1.97,79ms
10,2023-11-20T08:40:50.783024,WARNING,ServiceD,Resource Warnings,4230,User55,192.168.1.94,64ms
11,2023-11-20T08:40:50.798636,INFO,ServiceC,Startup Messages,6556,User68,192.168.1.23,86ms
12,2023-11-20T08:40:50.814813,DEBUG,ServiceD,Trace Information,7745,User89,192.168.1.20,24ms
13,2023-11-20T08:40:50.830576,DEBUG,ServiceD,File I/O,7566,User95,192.168.1.170,64ms
14,2023-11-20T08:40:50.846785,FATAL,ServiceC,Data Corruption,7077,User20,192.168.1.110,83ms
15,2023-11-20T08:40:50.857131,WARNING,ServiceC,Resource Warnings,4703,User84,192.168.1.117,61ms
16,2023-11-20T08:40:50.863332,FATAL,ServiceC,Data Corruption,2389,User58,192.168.1.102,83ms
17,2023-11-20T08:40:50.878447,INFO,ServiceA,Status Updates,7751,User48,192.168.1.10,16ms
18,2023-11-20T08:40:50.888752,INFO,ServiceA,Startup Messages,2815,User85,192.168.1.34,87ms
19,2023-11-20T08:40:50.897574,WARNING,ServiceC,Resource Warnings,3707,User4,192.168.1.71,33ms
20,2023-11-20T08:40:50.906640,DEBUG,ServiceC,Algorithm Steps,5666,User14,192.168.1.135,17ms
21,2023-11-20T08:40:50.914827,FATAL,ServiceB,Crashes,3454,User14,192.168.1.69,19ms
22,2023-11-20T08:40:50.930622,INFO,ServiceB,Status Updates,6515,User79,192.168.1.131,94ms
23,2023-11-20T08:40:50.946874,ERROR,ServiceA,Critical Errors,1660,User5,192.168.1.163,47ms
24,2023-11-20T08:40:50.962634,FATAL,ServiceB,Crashes,5129,User22,192.168.1.27,24ms
25,2023-11-20T08:40:50.978633,FATAL,ServiceD,Data Corruption,9028,User88,192.168.1.111,91ms
26,2023-11-20T08:40:50.994358,WARNING,ServiceD,Input Validation Warnings,8342,User64,192.168.1.98,94ms
27,2023-11-20T08:40:51.009980,INFO,ServiceA,Status Updates,3272,User68,192.168.1.182,39ms
28,2023-11-20T08:40:51.025631,DEBUG,ServiceB,File I/O,3312,User18,192.168.1.17,82ms
29,2023-11-20T08:40:51.041373,ERROR,ServiceD,Critical Errors,7913,User90,192.168.1.204,60ms
30,2023-11-20T08:40:51.057095,DEBUG,ServiceC,Trace Information,7677,User17,192.168.1.54,11ms
31,2023-11-20T08:40:51.067654,FATAL,ServiceD,Data Corruption,6621,User6,192.168.1.130,65ms
32,2023-11-20T08:40:51.079061,INFO,ServiceC,Startup Messages,7026,User89,192.168.1.52,51ms
33,2023-11-20T08:40:51.089943,ERROR,ServiceA,Critical Errors,9871,User71,192.168.1.221,79ms
34,2023-11-20T08:40:51.105359,FATAL,ServiceB,Crashes,1214,User36,192.168.1.217,55ms
35,2023-11-20T08:40:51.121804,ERROR,ServiceB,Critical Errors,9560,User33,192.168.1.71,91ms
36,2023-11-20T08:40:51.145814,DEBUG,ServiceD,Algorithm Steps,5880,User87,192.168.1.208,24ms
37,2023-11-20T08:40:51.162024,ERROR,ServiceB,Database Errors,3402,User2,192.168.1.124,59ms
38,2023-11-20T08:40:51.177874,ERROR,ServiceA,Database Errors,2122,User89,192.168.1.212,84ms
39,2023-11-20T08:40:51.193657,WARNING,ServiceD,Input Validation Warnings,3307,User50,192.168.1.36,93ms
40,2023-11-20T08:40:51.209528,DEBUG,ServiceA,File I/O,4130,User46,192.168.1.52,21ms
41,2023-11-20T08:40:51.225251,INFO,ServiceC,Status Updates,8137,User66,192.168.1.49,43ms
42,2023-11-20T08:40:51.241002,ERROR,ServiceA,Database Errors,3924,User66,192.168.1.65,54ms
43,2023-11-20T08:40:51.256727,DEBUG,ServiceB,SQL Queries,7951,User60,192.168.1.130,51ms
44,2023-11-20T08:40:51.268425,INFO,ServiceD,Startup Messages,4391,User38,192.168.1.227,51ms
45,2023-11-20T08:40:51.280236,WARNING,ServiceC,Performance Warnings,9083,User46,192.168.1.124,53ms
46,2023-11-20T08:40:51.289243,FATAL,ServiceC,Crashes,1569,User3,192.168.1.246,11ms
47,2023-11-20T08:40:51.304844,INFO,ServiceA,Startup Messages,4737,User37,192.168.1.29,97ms
48,2023-11-20T08:40:51.313661,INFO,ServiceC,Status Updates,8820,User26,192.168.1.103,14ms
49,2023-11-20T08:40:51.322621,DEBUG,ServiceA,Algorithm Steps,9467,User86,192.168.1.116,85ms
50,2023-11-20T08:40:51.346419,INFO,ServiceD,Startup Messages,2234,User48,192.168.1.171,72ms
51,2023-11-20T08:40:51.362185,FATAL,ServiceD,Data Corruption,2253,User94,192.168.1.157,31ms
52,2023-11-20T08:40:51.377774,DEBUG,ServiceB,Trace Information,3491,User83,192.168.1.160,30ms
53,2023-11-20T08:40:51.393686,DEBUG,ServiceD,Trace Information,7167,User27,192.168.1.55,12ms
54,2023-11-20T08:40:51.409408,INFO,ServiceA,Status Updates,5403,User18,192.168.1.155,79ms
55,2023-11-20T08:40:51.424941,ERROR,ServiceC,Database Errors,5009,User59,192.168.1.153,48ms
56,2023-11-20T08:40:51.441125,INFO,ServiceD,Startup Messages,4780,User31,192.168.1.166,41ms
57,2023-11-20T08:40:51.457004,DEBUG,ServiceA,SQL Queries,5523,User37,192.168.1.36,59ms
58,2023-11-20T08:40:51.468713,WARNING,ServiceD,Performance Warnings,8693,User47,192.168.1.167,82ms
59,2023-11-20T08:40:51.479501,DEBUG,ServiceC,Trace Information,4018,User19,192.168.1.249,83ms
60,2023-11-20T08:40:51.496124,WARNING,ServiceD,Resource Warnings,2358,User71,192.168.1.216,27ms
61,2023-11-20T08:40:51.512366,DEBUG,ServiceA,SQL Queries,6724,User12,192.168.1.228,72ms
62,2023-11-20T08:40:51.528120,DEBUG,ServiceC,SQL Queries,2006,User62,192.168.1.115,37ms
63,2023-11-20T08:40:51.539576,ERROR,ServiceD,Database Errors,5954,User86,192.168.1.213,72ms
64,2023-11-20T08:40:51.550475,ERROR,ServiceB,Database Errors,2041,User38,192.168.1.167,59ms
65,2023-11-20T08:40:51.566893,WARNING,ServiceC,Input Validation Warnings,4760,User47,192.168.1.51,26ms
66,2023-11-20T08:40:51.576260,ERROR,ServiceD,Database Errors,6583,User42,192.168.1.4,21ms
67,2023-11-20T08:40:51.591304,WARNING,ServiceA,Resource Warnings,7272,User6,192.168.1.126,50ms
68,2023-11-20T08:40:51.613142,WARNING,ServiceD,Input Validation Warnings,1514,User12,192.168.1.207,32ms
69,2023-11-20T08:40:51.629044,DEBUG,ServiceA,Trace Information,1972,User2,192.168.1.144,77ms
70,2023-11-20T08:40:51.644969,ERROR,ServiceB,Critical Errors,4053,User76,192.168.1.55,96ms
71,2023-11-20T08:40:51.660780,ERROR,ServiceC,Database Errors,5445,User31,192.168.1.60,100ms
72,2023-11-20T08:40:51.676551,ERROR,ServiceA,Critical Errors,7891,User50,192.168.1.17,77ms
73,2023-11-20T08:40:51.692356,ERROR,ServiceB,Database Errors,5074,User62,192.168.1.60,80ms
74,2023-11-20T08:40:51.700831,INFO,ServiceD,Status Updates,6445,User99,192.168.1.248,32ms
75,2023-11-20T08:40:51.713888,WARNING,ServiceB,Resource Warnings,2742,User91,192.168.1.140,32ms
76,2023-11-20T08:40:51.729226,DEBUG,ServiceD,Trace Information,4638,User64,192.168.1.66,58ms
77,2023-11-20T08:40:51.744635,WARNING,ServiceD,Input Validation Warnings,5237,User64,192.168.1.24,33ms
78,2023-11-20T08:40:51.760101,FATAL,ServiceD,Crashes,3275,User58,192.168.1.194,59ms
79,2023-11-20T08:40:51.775986,FATAL,ServiceD,Crashes,4993,User10,192.168.1.56,37ms
80,2023-11-20T08:40:51.784371,INFO,ServiceA,Status Updates,1038,User67,192.168.1.188,60ms
81,2023-11-20T08:40:51.796185,DEBUG,ServiceD,File I/O,9059,User24,192.168.1.242,100ms
82,2023-11-20T08:40:51.811779,DEBUG,ServiceD,Trace Information,9374,User95,192.168.1.74,74ms
83,2023-11-20T08:40:51.827534,DEBUG,ServiceB,SQL Queries,5143,User17,192.168.1.168,76ms
84,2023-11-20T08:40:51.836419,INFO,ServiceD,Startup Messages,9020,User58,192.168.1.147,16ms
85,2023-11-20T08:40:51.845868,ERROR,ServiceB,Critical Errors,1186,User52,192.168.1.56,97ms
86,2023-11-20T08:40:51.861536,WARNING,ServiceA,Resource Warnings,7060,User12,192.168.1.152,35ms
87,2023-11-20T08:40:51.877676,DEBUG,ServiceC,SQL Queries,9782,User46,192.168.1.113,71ms
88,2023-11-20T08:40:51.886173,WARNING,ServiceB,Performance Warnings,1139,User81,192.168.1.94,27ms
89,2023-11-20T08:40:51.896091,INFO,ServiceB,Startup Messages,8057,User48,192.168.1.103,97ms
90,2023-11-20T08:40:51.911847,WARNING,ServiceA,Resource Warnings,5431,User19,192.168.1.60,90ms
91,2023-11-20T08:40:51.927910,INFO,ServiceB,Startup Messages,1309,User91,192.168.1.181,88ms
92,2023-11-20T08:40:51.943626,WARNING,ServiceC,Performance Warnings,1968,User37,192.168.1.189,41ms
93,2023-11-20T08:40:51.952587,DEBUG,ServiceC,File I/O,2918,User12,192.168.1.229,92ms
94,2023-11-20T08:40:51.961675,FATAL,ServiceA,Data Corruption,4816,User89,192.168.1.44,15ms
95,2023-11-20T08:40:51.968032,WARNING,ServiceD,Resource Warnings,7362,User75,192.168.1.85,84ms
96,2023-11-20T08:40:51.980597,WARNING,ServiceD,Resource Warnings,7383,User95,192.168.1.110,31ms
